id	is_active	created_at	updated_at	city	state	zone
267	1	NULL	NULL	Andheri	Mumbai	West
268	1	NULL	NULL	Odhav	Gujarat	West
269	1	NULL	NULL	Pithampur	Madhya Pradesh	West
270	1	NULL	NULL	Jaipur	Rajasthan	West
271	1	NULL	NULL	Vijaynagara	Karnataka	South
272	1	NULL	NULL	Uttam Nagar	NCR	South
273	1	NULL	NULL	Kolkata	West Bengal	North
274	1	NULL	NULL	Karnal	Haryana	North
275	1	NULL	NULL	Faridabad	Haryana	West
276	1	NULL	NULL	Ghaziabad	Uttar Pradesh	South
277	1	NULL	NULL	Zirakpur	Punjab	West
278	1	NULL	NULL	Baroda	Gujarat	West
279	1	NULL	NULL	Salem	Tamil Nadu	South
280	1	NULL	NULL	Vijaynagar	Karnataka	South
281	1	NULL	NULL	Faridabad	Haryana	South
282	1	NULL	NULL	TALEGAON	Maharashtra	West
283	1	NULL	NULL	INDORE/PITHAMPUR	West	West
284	1	NULL	NULL	Durgapur	West Bengal	East
285	1	NULL	NULL	Guwahati	Assam	North
286	1	NULL	NULL	Pune	Maharashtra	North
287	1	NULL	NULL	Udaipur	RAJASTHAN	NORTH
288	1	NULL	NULL	Ambattur	Tamil Nadu	West
289	1	NULL	NULL	Nashik	Maharashtra	West
290	1	NULL	NULL	Durgapur	West Bengal	East
291	1	NULL	NULL	Ambala	Haryana	North
292	1	NULL	NULL	SALEM	Tamil Nadu	South
293	1	NULL	NULL	Bikaner	Rajasthan	North
294	1	NULL	NULL	Hyderabad	Uttar Pradesh	North
295	1	NULL	NULL	Nashik	Maharashtra	West
296	1	NULL	NULL	HYDERABAD	Uttar Pradesh	South
297	1	NULL	NULL	Jamshedpur	Jharkhand	East
298	1	NULL	NULL	Patiala	Punjab	South
299	1	NULL	NULL	Patiala	Punjab	North
300	1	NULL	NULL	Yamunanagar	Haryana	North
301	1	NULL	NULL	Coimbatore	Tamil Nadu	SOUTH
302	1	NULL	NULL	RAIPUR	Uttaranchal	EAST
303	1	NULL	NULL	BHUBNESHWAR	ORISSA	EAST
304	1	NULL	NULL	HAZARIBAGH ALLIANCE	JHARKHAND	EAST
305	1	NULL	NULL	BEGUSARAI ALLIANCE	BIHAR	EAST
306	1	NULL	NULL	RAJAHMUNDRY	ANDHRA PRADESH	SOUTH
307	1	NULL	NULL	ERODE FSB	TAMILNADU	SOUTH
308	1	NULL	NULL	BHUBANESHWAR	ODISHA	EAST
309	1	NULL	NULL	DEHRADUN	UTTARANCHAL	NORTH
310	1	NULL	NULL	PUNE	Maharashtra	NORTH
311	1	NULL	NULL	VISAKHAPATNAM	Andhra Pradesh	SOUTH
312	1	NULL	NULL	Peenya	Karnataka	SOUTH
313	1	NULL	NULL	Madurai	Tamil Nadu	WEST
314	1	NULL	NULL	Faridabad	Haryana	SOUTH
315	1	NULL	NULL	Madurai	Tamil Nadu	NORTH
316	1	NULL	NULL	Uttam Nagar	NCR	NORTH
317	1	NULL	NULL	Madurai	Tamil Nadu	SOUTH
318	1	NULL	NULL	Lucknow	Uttar Pradesh	NORTH
319	1	NULL	NULL	Ambattur	Tamil Nadu	SOUTH
320	1	NULL	NULL	Dehradun	Uttar Pradesh	NORTH
321	1	NULL	NULL	Patiala	Punjab	NORTH
322	1	NULL	NULL	Hubli	Karnataka	SOUTH
323	1	NULL	NULL	Vijayanagara	Karnataka	SOUTH
324	1	NULL	NULL	Bhel	Andhra Pradesh	NORTH
325	1	NULL	NULL	Faridabad	Haryana	WEST
326	1	NULL	NULL	Ahmedabad	Gujarat	SOUTH
327	1	NULL	NULL	Suchitra	Andhra Pradesh	NORTH
328	1	NULL	NULL	Noida	Uttar Pradesh	SOUTH
329	1	NULL	NULL	Raipur	Uttaranchal	NORTH
330	1	NULL	NULL	Raipur	Uttaranchal	WEST
331	1	NULL	NULL	Virar	Maharashtra	EAST
332	1	NULL	NULL	Ambattur	Tamil Nadu	NORTH
333	1	NULL	NULL	Ambala	Haryana	WEST
334	1	NULL	NULL	Ahmedabad	Gujarat	WEST
335	1	NULL	NULL	Andheri	Mumbai	WEST
336	1	NULL	NULL	Andheri	Mumbai	NORTH
337	1	NULL	NULL	BHOPAL	Madhya Pradesh	West
338	1	NULL	NULL	Hosur	Tamil Nadu	NORTH
339	1	NULL	NULL	Karnal	Haryana	NORTH
340	1	NULL	NULL	Karnal	Haryana	SOUTH
341	1	NULL	NULL	LUDHIANA	Punjab	South
342	1	NULL	NULL	JALANDHAR	Punjab	South
343	1	NULL	NULL	DELHI	DELHI	north
344	1	NULL	NULL	KOLKATA	West Bengal	East
345	1	NULL	NULL	SURAT	Gujarat	west
346	1	NULL	NULL	NAGPUR	Maharashtra	west
347	1	NULL	NULL	GUWAHATI	Assam	north
348	1	NULL	NULL	JAIPUR	Rajasthan	west
349	1	NULL	NULL	COIMBATORE	Tamil Nadu	SOUTH
350	1	NULL	NULL	MADURAI	Tamil Nadu	SOUTH
351	1	NULL	NULL	CHENNAI	Tamil Nadu	SOUTH
352	1	NULL	NULL	TRIVANDRUM	Kerala	west
353	1	NULL	NULL	SALEM	Tamil Nadu	SOUTH
354	1	NULL	NULL	JAMNAGAR	Gujarat	west
355	1	NULL	NULL	AHMEDABAD	Gujarat	west
356	1	NULL	NULL	CALICUT	NA	west
357	1	NULL	NULL	HIMMATNAGAR	Gujarat	west
358	1	NULL	NULL	MUMBAI	Maharashtra	west
359	1	NULL	NULL	KARNAL	Haryana	west
360	1	NULL	NULL	AMBALA	Haryana	west
361	1	NULL	NULL	Pune	Maharashtra	WEST
362	1	NULL	NULL	BHOPAL	Madhya Pradesh	North
363	1	NULL	NULL	CHANDIGARH	Chandigarh *	North
364	1	NULL	NULL	COCHIN	Kerala	SOUTH
365	1	NULL	NULL	PATIALA	Punjab	north
366	1	NULL	NULL	TRICHY	Tamil Nadu	SOUTH
367	1	NULL	NULL	PONDICHERRY	Pondicherry *	SOUTH
368	1	NULL	NULL	NASIK	Maharashtra	west
369	1	NULL	NULL	BIKANER	Rajasthan	west
370	1	NULL	NULL	KOTA	Chhattisgarh	west
371	1	NULL	NULL	DEHRADUN	NA	west
372	1	NULL	NULL	RAJKOT	Gujarat	west
373	1	NULL	NULL	NA	NA	west
374	1	NULL	NULL	BANGALORE	Karnataka	west
375	1	NULL	NULL	PUNE	Maharashtra	west
376	1	NULL	NULL	INDORE	Madhya Pradesh	north
377	1	NULL	NULL	KOLHAPUR	Maharashtra	west
378	1	NULL	NULL	ANAND	Gujarat	west
379	1	NULL	NULL	BATHINDA	Punjab	west
380	1	NULL	NULL	UDAIPUR	RAJASTHAN	NORTH
381	1	NULL	NULL	SILIGURI	West Bengal	East
382	1	NULL	NULL	JODHPUR	Gujarat	west
383	1	NULL	NULL	CUTTACK	Orissa	west
384	1	NULL	NULL	PANIPAT FSB	NA	west
385	1	NULL	NULL	HUBLI	NA	west
386	1	NULL	NULL	RAIPUR	Uttaranchal	west
387	1	NULL	NULL	HARIDWAR	NA	west
388	1	NULL	NULL	HYDERABAD	Uttar Pradesh	NORTH
389	1	NULL	NULL	RANCHI	Jharkhand	west
390	1	NULL	NULL	AJMER	Rajasthan	west
391	1	NULL	NULL	UDAIPUR	RAJASTHAN	NORTH
392	1	NULL	NULL	JAMSHEDPUR	Jharkhand	west
393	1	NULL	NULL	VIJAYAWADA	Andhra Pradesh	SOUTH
394	1	NULL	NULL	BHUBANESHWAR	NA	west
395	1	NULL	NULL	RAJAHMUNDRY	Andhra Pradesh	SOUTH
396	1	NULL	NULL	VISAKAPATNAM	NA	west
397	1	NULL	NULL	KAKINADA	Andhra Pradesh	SOUTH
398	1	NULL	NULL	VELLOR	NA	west
399	1	NULL	NULL	GUNTUR	Andhra Pradesh	SOUTH
400	1	NULL	NULL	BHAVNAGAR	Gujarat	west
401	1	NULL	NULL	NAGERCOIL	Tamil Nadu	SOUTH
402	1	NULL	NULL	RANCHI	Jharkhand	East
403	1	NULL	NULL	Rajahmundry	Andhra Pradesh	South
404	1	NULL	NULL	Rajahmundry	Andhra Pradesh	SOUTH
405	1	NULL	NULL	Panvel	Maharashtra	WEST
406	1	NULL	NULL	Suchitra	Andhra Pradesh	SOUTH
407	1	NULL	NULL	Kolkata	West Bengal	EAST
408	1	NULL	NULL	Nagpur	Maharashtra	WEST
409	1	NULL	NULL	WARANGAL	Andhra Pradesh	SOUTH
410	1	NULL	NULL	VAPI	Gujarat	WEST
411	1	NULL	NULL	Mumbai	Maharashtra	West
412	1	NULL	NULL	BARODA	NA	west
413	1	NULL	NULL	BIKANER	RAJASTHAN	NORTH
414	1	NULL	NULL	AHMEDABAD	Gujarat	West
415	1	NULL	NULL	TRIVANDRUM	Kerala	WEST
416	1	NULL	NULL	DEHRADUN	UTTARAKHAND	North
417	1	NULL	NULL	SURAT	Gujarat	WEST
